index,query
748,i need more cat food than i initially ordered. can i change the quantity?
738,my son just brought home 3 more cats and i am going to need more food than i ordered. can i change the quantity of my order or do i need to place a second one?
1686,i wont be available this week . can you deliver it to my neighbour
1425,check phone availability
1313,where are the womens t-shirts?
831,give me the shipping details
79,need to cancel my order
674,what are the customization options?
1003,which date is my orders delivery?
1275,"oh, you know when can we order iphone x"
201,can you stop this order.
750,i am trying to change the quantity of products in my order
53,i order this samung galaxy phone from your website
2010,how late will you be open on the weekends?
693,how do i remove the kimono from my cart
1868,could you please change the shipping method from ground to express? and how much will that cost?
408,can you tell me why the info is showing processed but not shipped. can you tell me how long it will take to get items
513,how long would it take for the phone to get to me?
315,can you find out why my order is still in processing?
1816,i would like to know if same day delivery is available on this order..
1010,estimate time before i receive it?
819,i need help getting my order status.
381,i see online that my order has not yet been shipped
2198,will you be open early for black friday?
94,how would i go about cancelling my order?
1636,i would like to read reviews starting with the top reviews for this product
1412,i would like for you to show me all the women's winter coats available
662,i want to change number of quantities of order as i did it by mistake.
140,i made a mistake and ordered twice
261,please let me know how i can cancel my order?
1957,i want to know where is the store in san francisco?
98,what can be done to stop my order?
785,i would like to know my order status.
223,how much will i pay for cancelling?
447,i could not track the device as well
897,i need the status of my order because its still hasnt arrived after all this time.
790,when will my order be delivered?
1083,out of curiosity...if i purchased a phone on thursday is there anyway of tracking it?
1942,i'm looking for the address of the store closest to me. could you please help?
1869,would it be possible for me to get same day delivery options?
1931,provide store address in san fransisco?
443,"hi, last thursday i placed an order for an iphone 8. order no: 7101601142. i can't seem to find any status on it. my credit card was pointed, but no. i need this for an upcoming birthday."
521,when i places the order about s month ago it said it&rsquo;ll ship between october 30-november 13
1887,how much will the cost of shipping be in order to receive my order today?
1235,"how to i want to look trend in bags, please tell me how to i know?"
2131,at what time do your stores close?
486,can you please check the estimated shipping date for my order
171,do you charge a fee for cancelling orders?
1836,what will be the charges for one day shipment to new york
2069,when can i come in?
2047,what are the hours for the stores in iowa?
606,i need to change my order items
682,can add my cart?
38,my kids ordered something without my knowledge
966,where is my product
2183,what's your store hours?
1725,i would like to edit my shipping address of my order i just made through the phone with t-mobile. they incorrectly put the address
1736,there was a change of address. can you assist me with changing that
1720,and is their any way i can change my adress
2031,please tell me the opening times for your philadelphia area stores?
868,i placed my order last week. still there is no update on that
2082,what are your regular hours on weekends?
386,when will my order ship?
1876,can you give me more detailed information regarding delivery plans?
1297,the see bottoms is good product so i need this product
996,what about status of my phone?i ordered it a week ago.
1348,how soon will the iphone hit the markets
256,what is the easiest way to cancel my order?
1302,what are the bottoms you have?
1494,what is the expected release date of i phone?
1695,is it possible to make any changes in address after order has been placed?
292,what if i changed my mind and i do not want to go on with my order?
745,is it too late to customize my new order?
596,what are the customization options?
1791,do you offer free shipping
714,i want to remove one of item from my cart can anybody from staff will help me to do the same.
106,cancelling new smartphone order?
1368,how do i search for plus sizes? i can not find a way to search by size.
142,can you please cancel this order since the dog i ordered this for unexpectedly died.
1197,can you show me the new nike air jordans?
2129,what time does your pittsburgh store close?
1338,hi. how are you today? i really want that samsung phone that you are offering and i see that it is out of stock. could you please check around and find out if it is available anywhere? thanks.
2154,"i am on my way to the mall now, what time does your store close?"
730,the shorts are not the right size-- can you remove them?
1137,what day can i expect this?
974,how many days will it take for my phone to be delivered?
525,i have ordered a wrong size
1135,how long will the delivery take?
2054,at what time do you guys close in the afternoon?
460,i see the order is still in progress and has yet to ship
1956,can i think of location?
45,ive made several attempts to cancel my order can you do it for me.
41,will i be charged anything for a canceled order?
1760,can i customize my preferences?
2152,does the dallas store close at 9pm?
1505,when will your iphone7 models become available again?
640,can modifications be made at this stage?
670,i would like to update my order to choose a custom monogram.
1962,`what is the amount of stores that you have in boston?
1281,search for hermes scarves.
390,do you know when my order will be processed for shipping?
1142,if im in new york and your warehouse is in chicago. how many days will it take for my order to arrived.
435,haven't received my phone
271,please let me know the procedure for cancelling my phone?
1812,can you tell me about any same day delivery options you provide?
1705,can you update my address?
2011,what time will your store be open?
1820,which is the cheapest delivery plan available
755,i need to modify my phone order.
1596,which men's jeans got the best review
1963,how far away is my closest store?
1658,im looking at the email receipt for my order and i see an error in my delivery address so can i please correct that before it ships?
752,i was hoping to change the color of the item i just ordered
860,are you able to give me an accurate delivery date and time please?
1996,what are your hours?
1359,can i see sneakers?
1937,"do you have a store location in los angeles, and if so, where?"
786,what the expected delivery date?
1417,can you show me some fashionable dresses
1533,when will my order be in stock?
51,what will i pay if i cancel my order today?
1563,"i selected nike shoe ,would please show me the reviews and comparison of the product"
624,i ordered a pair of trainers
1898,i want to visit your portland store but am unsure where it is. can you give me directions?
1522,i&rsquo;m inquiring about the iphone x. when will it be available?
2022,when is the store open?
1373,"i like latest model watches, how many watches you have?"
1395,what types of products does your shopping establishment carry?
1134,where has my iphone reached?
666,i originally ordered two phones but i only want one now.
329,do you have any idea where my order is?
1778,tell me about your delivery and shipping plans.
238,what is the policy when it comes to canceling an order?
1312,where are the sweaters?
1960,do you have many stores in california?
2091,till what time will you guys be open today?
1768,i originally ordered two phones but i only want one now.
657,i would like to alter my last order
490,i havent gotten my device. whats the problem?
1050,"hi, is there an estimated ship date for order s035628539? i am still not seeing this order in my account either."
665,i ordered two but actually needed three instead.
179,i no longer need the kayak i ordered
1822,what shipping options are there?
578,i want this to be customized so i like it more
463,i'm having difficulty finding the order status or tracking number for my new phone being delivered on this app.
684,can you please update my cart ?
1878,s it possible to receive the order today if i just place the order?
432,all i got yesterday was that my order is still pending. like i told the last representative if i don&rsquo;t receive this phones by thursday i just want to cancel everything and go with another company.
1762,is it possible to modify now?
616,i ordered the wrong amount of products and need to add more items to my order.
1032,any way to track by order number? do you need the tracking as well?
1559,how people appreciate this product now a days?
679,i would like to order a second phone to the plan i jyst purchased. how can you help me?
1185,can i show me in t-shirts?
89,what is the order cancellation policy?
2111,when does pantene new jersey store open in morning?
536,need to change order
2188,what is your weekday and weekend timings?
1249,"i saw the new nike air jordans online and i can't find them on your website (size 12, white). where are they?"
483,my order shouldve shipped by now.
2101,would you furnish the working hours of your stores in new york city?
1116,can u find out where my phone is?
1125,i am becoming frustrated with the wait for my delivery when can i expect it?
1593,where can i find the reviews for this?
1718,please let me know how i can change where i need the package delivered.
985,shipping updates?
1418,i'm looking for a new dress. can you please show me some fashionable options
1064,i preordered the iphone 8 a few weeks ago and i am still waiting on this device to arrive... can you tell me when i will get it?
353,this is really starting to do my head in! its getting quite ridiculous now
153,is there a charge for cancelling an order?
1766,i am trying to change the quantity of products in my order
694,how do i remove this from my cart?
590,i want to make a few changes to the order i placed.
638,can i customize my preferences?
1899,where's your store located in florida?
1649,i need to change the shipping address for my order.
1403,show me your dresses
1216,do you stock hermes scarves?
2030,what time do you close on mondays?
579,i need to make some changes on the order i placed earlier
296,when will my order be processed?
889,i want to learn my orders delivery date
1344,when will you have the newest iphone back in stock?
891,i dont think i need to know if they have received or not
2160,could you please tell me what time your store opens and closes?
2158,what time does your store open up?
1180,can i see your sneakers?
402,i am tired on keep on calling. i need to know when i am going to receive my order for sure .if i do not get it i will cancel it. thank you for your help.
362,time between processing and shipping
602,how do i make changes at this stage?
1331,do you expect to get more of this out of stock item?
1560,how to people like this product?
1860,i had overnight shipping as well
2057,i live in the los angeles area and would like to know the hours of your stores in this area.
283,i am hoping you can help me because i placed an order for a headset as a gift for someone and just found out she already has what i bought so can i cancel the order?
902,wheres my order status?
2202,what are you hours of operation on weekdays?
1139,i keep my gate locked and need to know when it will be coming so i can be ready?
206,will i be promptly refunded my money after i canceled an order?
1015,how long will it take to process the order?
675,i accidentally ordered rinsed jeans instead of faded jeans. can i switch my order or is it too late?
2073,what hours are you open?
1002,what is the delivery date of last order
1355,can i please in show in sneakers?
1303,what are the latest trends on bags
1356,can i please in sneakers?
695,how do i update the number of items in my cart if i would like to add more of the same thing?
2203,are you opened on weekends?
1304,what brand do you have on t-shirts
1196,can you show me the new line of sneakers?
696,how do i update the quantity in my cart?
2172,at what time do you close up this evening?
1384,i'm looking for plus size pants especially jeans without stretch.
1884,what shipping plans do you offer?
59,i have ordered the wrong product in error
32,i need to cancel my order - can you please tell me how i can do this?
64,i tried canceling the order via the website
1678,is it too late to change the delivery destination for my order?
401,my order has been delayed due to restocking issues
812,any new update on my order
603,i dont want the plain stock version
336,i purchased a new phone plan but it is not confirmed.
658,i would like to alter something in my last order
6,hi john. i would like to cancel my last order that is in proccess.
1319,show me women's winter coats
2144,"hello, how late is your store open today?"
998,my device is overdue. whats the status?
136,is there a certain time frame where i will not get penalized for cancelling the order?
1886,what are your delivery times
633,can you change my order please
3,cancel the order please
1343,when will you have the phone i want in your inventory?
1784,do you have a same day delivery option for the item i want?
2029,how late are you open on sundays?
1580,reviews for shoes.
2020,what time does this store open?
316,is my order going to arrive soon because its been three weeks now
778,i want to see the status of my order
1955,do you know location?
2146,do you have any special hours for holidays?
709,"i need to remove an item from my cart, can you tell me how?"
348,order is not delivered yet.
190,can you please check if i can cancel my order.
965,where is my order at the moment?
450,i order the iphone 8 plus and im trying to check th status of it but it wont show me.
557,is it too late to customize my new order?
1928,can i store location in francisco?
0,all i got yesterday was that my order is still pending. like i told the last representative if i don&rsquo;t receive this phones by thursday i just want to cancel everything and go with another company.
1603,did this product receive more than 3 stars?
157,is there any fees if i were to cancel my order?
1370,"i have been unable to search for a shirt i am looking for, and need help finding it."
2072,will your store be open tomorrow?
522,yeah i ordered the i watched on the 22 of last month first they told me that it would shipped about the 30 and it says that it still processing
1761,would i be able to customize the item i ordered?
1167,any branded shoes you have
1745,is it possible you can ship my order to where i work instead of where i live?
1805,am i able to receive an item today if i go ahead and order it today?
931,what time will my order be delivered and on what day?
2045,when does the store open on mondays?
2214,i like to shop early. what is a good time to come in?
1894,how to get location?
1213,do you have the latest michael jordan basketball sneakers?
740,change my shipping method to express shipping instead of the ground shipping.
977,how many days does it take to get my shipment?
259,im no longer interested in this product
1157,"i ordered 2 apple watches , i want to know the status of the watches. when will they ship out"
191,could you please explain your refund/cancellation policies?
1903,stores in miami?
1855,i ordered something and i would like to know how its going to be delivered to me please.
1309,what tops do you carry?
1193,can you ready to show?
946,at your earliest convenience
439,"hello, i am writing about a phone replacement that should have been made a while ago. the order number is 236110946. i sent the defective device with the ups shipping label you provided more than 5 weeks ago. this is the tracking number for said shipment 1zrv91769090467148. if you check it on ups tracking, it says it was delivered on august 31st. my replacement phone has not yet been sent to me, so i opened a ticket yesterday with number 07356130. i received an email from said ticket saying you did not receive this phone, but ups tracking says they delivered it to you. i need a definitive and final answer regarding this ticket. if you cannot provide a definitive answer about when i am to receive my replacement phone, i will procede to cancel my family plan and move to a another carrier."
842,can you tell me when i can expect the item delivered to me?
1222,hey i need to place an order
1866,i would love to know about your delivery and shipping plans?
128,i found a better deal with acme so unless you price match i would like to cancel my order.
792,when can i expect delivery?
83,am i able to cancel an order i just made?
379,i have not received my latest order yet
1875,if i decide to order today
1467,can you confirm if the device is available near me?
2156,i would like to know your store schedule.
1452,is that product available in stores too
501,any idea when my pending order will be shipped?
784,can you please give me the new delivery date for my order?
2148,how long are you open?
1229,how do i search for clothes?
697,how i can update my cart
1299,want to order 4 iphone 10
1630,i would like to know what others have said about this item are there any reviews
1882,what are the available delivery plans that you have at the moment?
1629,any item reviews
1859,can you change the street address for us?
939,when can i expect my order to arrive?
1516,when will the latest cell phone be available?are there any iphone7s left?
185,can i cancel my order after it has shipped?
1976,what are the hours of the store?
1729,change my shipping address.
2142,what time does the new york store open on saturday?
2016,what are your store hours on saturday?
1036,can you check on the status of the return
663,i just realized i ordered the wrong thing and id like to correct that.
1477,i want to order a sim is that available in your stock?
440,"hello, i ordered some headphones and they appear to be stuck in shipping. according to the usps tracking number the package has been stuck in fresno since october 5th. my phone number is 5592013085"
2100,would you tell me the exact timings of your stores in new york city?
1732,please modify my delivery adress
1913,locate the store?
1455,is the 8 available in stores now
458,"i placed an order to upgrade my phone almost two weeks ago, order #7101547855 but i never got the phone in the mail. it haven&rsquo;t even been shipped. i am told the order is still being processed, i was also told the phone was sold out, i was also told they couldn&rsquo;t find my order. a department can see my order, other department can&rsquo;t. i was charged for the equipment but i never got it and i really need it. it&rsquo;s been almost two weeks now."
1162,i placed an order 10/14 and was wondering if i could have the tracking #
1267,i'm looking for a dress for an upcoming wedding where i'll be a guest. do you have dresses for that?
844,since my delivery is going to require a signature can you please tell me on what day it will arrive so i can make arrangements for someone to be here to sign for it?
1386,please tell me where to find womens sandals.
2205,what time will you guys be opened today?
1431,when does the iphone x come out?
1017,how long will it take to receive the phone?
1653,is it possible to change my delivery address now that my order has already been placed?
1371,i have sneakers?
319,i ordered phone a month ago.when can i get it delivered?
282,i dont think i want to continue with this order -- how do i cancel it?
2106,when does your store close?
1863,is same day delivery available?
620,i would like to only get one of them now.
479,my order has not arrived.
1969,"unfortunately , my product is delivered to my nearest store of yours ,so can you tell me the address from where i can pick it."
1402,"i really need to buy a new pair of sneakers. can you show me a few. also, do you sell watches? any popular brands? where can i find designer handbags and totes"
60,i dont want this item anymore. how can i cancel it?
706,"i have been trying this on internet for long to udate my cart,can yoou please help me how do i know my current updation of cart."
393,when are you sending out my order?
1561,how to want appreciate this product now?
659,i want this to be customized so i like it more
404,it looks like my item has been processed
1980,i need to know what your stores schedules are.
1187,can i show me sneakers?
856,can you check if it was shipped
899,expected delivery for the order?
312,the phone i ordered three weeks ago is still not here! can you check my order status?
